0.2
NET n1       c4486 c43922 ;
NET n2       c136070 c136069 c20932 c71230 ;
NET n3       c150418 c150410 c57992 c74380 ;
NET n4       c47228 c68994 ;
NET n5       c35857 c147459 c147458 c122391 c84003 c23446 c23445 ;
NET n6       c150417 c150412 c109185 c83786 c74379 ;
NET n7       c136069 c20932 c64645 c71230 c122210 ;
NET n8       c47229 c68995 ;
NET n9       c35912 c147613 c147612 c122697 c84207 c23448 c23447 ;
NET n10      c150416 c150411 c109185 c83786 c74378 ;
NET n11      c17669 c68996 ;
NET n12      c96010 c27316 ;
NET n13      c35837 c147497 c147496 c122424 c84025 c23450 c23449 ;
NET n14      c96009 c27315 ;
NET n15      c30257 c7822 c22293 c52319 c16937 c5008 ;
NET n16      c98155 c2194 ;
NET n17      c150415 c57992 c70507 c74377 ;
NET n18      c30258 c7823 c7822 c40180 ;
NET n19      c150415 c150414 c110040 c20900 c74376 ;
NET n20      c96008 c27315 ;

